1961	260000	3269	85000
1962	277000	3971	110000
1963	292000	3938	115000
1964	308000	4515	139069
1965	327000	3724	121772
1966	342800	4366	149662
1967	358000	4096	146640
1968	371100	3893	144476
1969	386800	4672	180706
1970	404300	4431	179156
1971	422800	5341	225814
1972	440500	4210	185445
1973	497000	4196	208522
1974	471000	5128	241511
1975	498000	4641	231136
1976	526000	4417	232330
1977	698000	4350	303621
1978	740000	4302	318381
1979	784700	5069	397759
1980	836700	4987	417222
1981	901300	5156	464751
1982	953000	3782	360445
1983	952600	4315	411081
1984	1028700	5493	565042
1985	1099800	5047	555115
1986	1173700	5203	610680
1987	1233700	5382	664031
1988	1566500	5312	832177
1989	1373300	5684	780521
1990	1566500	5155	807501
1991	1412000	5416	764708
1992	1450000	5607	813009
1993	1425953	5637	803799
1994	1500000	5391	808662
1995	1900000	5895	1120000
1996	2052878	6017	1235300
1997	1823035	6139	1119110
1998	1800000	6673	1201119
1999	1900000	6121	1163025
2000	2000000	7006	1401101
2001	1777550	6821	1212428
2002	1880000	6727	1264708
2003	2000000	6758	1351546
2004	2050000	6864	1407213
2005	2193548	5864	1286330
2006	2281290	6176	1408854
2007	2372542	5184	1229908
2008	2300000	6011	1382441
2009	2176162	5621	1223153
2010	2278786	5711	1301347
2011	2685121	5628	1511255
2012	2746080	5411	1485882
2013	2731411	5305	1448992
2014	3084498	5310	1637778
2015	3458163	5194	1796000
2016	3168749	5157	1634000
2017	4035466	5040	2034000
2018	4359104	4848	2113189
2019	4733656	4722	2235043
2020	4774875	4607	2200000
