1961	1756000	2364	415200
1962	1800000	2378	428100
1963	1820000	2351	427800
1964	1848000	3141	580500
1965	1830000	2272	415800
1966	1350000	2823	381100
1967	1450000	2921	423500
1968	1300000	2515	327000
1969	1450000	2857	414300
1970	1451000	2798	406000
1971	1500000	3133	470000
1972	1450000	2867	415700
1973	1400000	2450	343000
1974	1400000	2751	385100
1975	1400000	2838	397300
1976	1300000	2513	326700
1977	1200000	2312	277400
1978	1200000	2235	268200
1979	1200000	2340	280800
1980	1200000	2310	277200
1981	1200000	2054	246500
1982	900000	2250	202500
1983	800000	2101	168100
1984	800000	2084	166700
1985	900000	2160	194400
1986	912000	2482	226400
1987	739371	2545	188170
1988	720071	3426	246700
1989	700286	4213	295052
1990	693249	4232	293355
1991	720898	3354	241796
1992	720898	4330	312122
1993	702061	3627	254652
1994	686531	4196	288075
1995	1000000	4039	403900
1996	1050000	3838	403000
1997	1074970	3000	322490
1998	1364530	3000	409360
1999	1300000	3340	434200
2000	1500000	2911	436600
2001	1350000	2886	389591
2002	1195000	2850	340562
2003	1500000	3313	497000
2004	2000000	3685	737000
2005	1850000	4000	740000
2006	1835000	4000	734000
2007	1463000	4200	614500
2008	1822500	3735	680781
2009	1600000	4441	710638
2010	1600200	3950	632037
2011	1600300	4374	700020
2012	1600300	5495	879348
2013	1600300	5221	835466
2014	1683765	5100	858720
2015	1683765	5100	858720
2016	1683765	5100	858720
2017	1867648	5190	969300
2018	1707146	5299	904700
2019	1495366	5428	811700
2020	1450449	5516	800000
